Stones #{}597
sto1.lua #{}133
stones: {
rock				Rock
rubble*				Rubble
rush				Rush
up				Upright Pillar
brush				Brush
blush*				Lush Brush
brushrock_0*		Brush | Rock
rushrock_0          Rush | Rock
rublish_0*          Rush | Rubble
blushrock_0*			Lush Brush | Rock
brushrock_1*			Brush / Rock
rushrock_1			Rush / Rock
rublish_1*			Rush / Rubble
blushrock_1*			Lush Brush / Rock
brushrock_2*			Brush+Rock 3/1
rushrock_2			Rush+Rock 3/1
rublish_2*			Rush+Rubble 3/1
blushrock_2*			Lush Brush+Rock 3/1
brushrock_3*			Brush+Rock 1/3
rushrock_3			Rush+Rock 1/3
rublish_3			Rush+Rubble 1/3
blushrock_3*         Lush Brush+Rock 1/3
brushrock_4*			Brush+Rock 3\1
rushrock_4			Rush+Rock 3\1
rublish_4*			Rush+Rubble 3\1
blushrock_4*			Lush Brush+Rock 3\1
brushrock_8*			Brush / Rock
rushrock_8			Rush / Rock
rublish_8*			Rush / Rock Rubble
blushrock_8*			Lush Brush / Rock
brushrock_5*			Brush+Rock 1\3
rushrock_5			Rush+Rock 1\3
rublish_5*			Rush+Rock 1\3 Rubble
blushrock_5*			Lush Brush+Rock 1\3
brushrock_52ul*		R5/2 Brush+Rock Left HighHalf
rushrock_52ul		R5/2 Rush+Rock Left HighHalf
rublish_52ul*		R5/2 Rush+Rock Left HighHalf Rubble
blushrock_52ul*		Lush R5/2 Brush+Rock Left HighHalf
brushrock_52ur*		R5/2 Brush+Rock Right HighHalf
rushrock_52ur		R5/2 Rush+Rock Right HighHalf
rublish_52ur*		R5/2 Rush+Rock Right HighHalf Rubble
blushrock_52ur*		Lush R5/2 Brush+Rock Right HighHalf
brushrock_527l*		R5/2 7/8 Brush+Rock Left
rushrock_527l		R5/2 7/8 Rush+Rock Left
rublish_527l*		R5/2 7/8 Rush+Rock Left Rubble
blushrock_527l*		Lush R5/2 7/8 Brush+Rock Left
brushrock_527r*		R5/2 7/8 Brush+Rock Right
rushrock_527r		R5/2 7/8 Rush+Rock Right
rublish_527r		R5/2 7/8 Rush+Rock Right Rubble
blushrock_527r*		Lush R5/2 7/8 Brush+Rock Right
brushrock_28*		Root 2 Brushrock
rushrock_28		    Root 2 Rushrock
rublish_28*		    Root 2 Rushrock Rubble
blushrock_28*		Lush Root 2 Brushrock
brushrock_2u*		*2 Root 2 Brushrock Diagstep
rushrock_2u		*2 Root 2 Rushrock Diagstep
rublish_2u*		*2 Root 2 Rushrock Diagstep Rubble
blushrock_2u*		*2 Lush Root 2 Brushrock 11/16 Diagstep
brushrock_2v*		*2 Root 2 Brushrock 11/16 Diagstep
rushrock_2v		*2 Root 2 Rushrock 11/16 Diagstep
rublish_2v*		*2 Root 2 Rushrock 11/16 Diagstep Rubble
blushrock_2v*		*2 Lush Root 2 Brushrock Diagstep
brushrock_21*		*2 4Brush 3Rock /8
rushrock_21		    *2 4Rush 3Rock /8
rublish_21*		    *2 4Rush 3Rock /8 Rubble
blushrock_21*       *2 4Blush 3Rock /8
brushrock_21u*		*2 8Brush 7Rock /16
rushrock_21u*		*2 8Rush 7Rock /16
rublish_21u*		*2 8Rush 7Rock /16 Rubble
blushrock_21u*      *2 8Blush 7Rock /16
brushrock_c*		Brush Curved Into Rock
rushrock_c			Rush Curved Into Rock
rublish_c*			Rush Curved Into Rock Rubble
blushrock_c*		Lush Brush Curved Into Rock
brushrock_11*		Brush+Rock+Brush //
rushrock_11		    Rush+Rock+Rush //
rublish_11*		    Rubble+Rock+Rubble //
blushrock_11*		Lush Brush+Rock+Brush //
brushrock_11a*		Brush+Rock+Brush \\
rushrock_11a*		Rush+Rock+Rush \\
rublish_11a*		Rubble+Rock+Rubble \\
blushrock_11a*		Lush Brush+Rock+Brush \\
sku					*4 Diagonal SkewSlab
skubl*				*4 Diagonal SkewSlab Rubble
skuk*				*4 Diagonal SkewSlab
sbukl*				*4 Diagonal SkewSlab Rubble
skukk*				*4 Diagonal SkewSlab
skrukk*				*4 Diagonal SkewSlab Rubble
skuz*				*4 Diagonal SkewSlab Dual Siding Z
sukz*				*4 Diagonal SkewSlab Dual Siding Z Rubble
sku2_r				*4 RightHalf SkewSlab
skub2_r*			*4 RightHalf SkewSlab Rubble
skus_l*			    *4 LeftHalf SkewSlab over Slab
skubs_l*			*4 LeftHalf SkewSlab over Slab Rubble
sku2_rc*			*4 RightHalf SkewSlab Cornered
skub2_r*			*4 RightHalf SkewSlab Cornered Rubble
sku2_rk*			*4 RightHalf SkewSlab
skub2_rk*			*4 RightHalf SkewSlab Rubble
